PRIORITY,GENRE_NAME,USER_ID_NEW
1,Ballade,v1zdrzH8
2,rock & metal,v1zdrzH8
3,dance,v1zdrzH8
4,J-POP,v1zdrzH8
5,R&B/Soul,v1zdrzH8
1,rap & hiphop,RIGyQ4zu
2,indie,RIGyQ4zu
3,OST,RIGyQ4zu
4,R&B/Soul,RIGyQ4zu
5,Ballade,RIGyQ4zu
1,rock & metal,Dc7GPylg
2,POP,Dc7GPylg
3,indie,Dc7GPylg
4,world music,Dc7GPylg
5,OST,Dc7GPylg
1,rock & metal,osP0AQtz
2,rap & hiphop,osP0AQtz
3,Ballade,osP0AQtz
4,POP,osP0AQtz
5,OST,osP0AQtz
1,trot,xPyHDowz
2,rock & metal,xPyHDowz
3,POP,xPyHDowz
4,jazz,xPyHDowz
5,rap & hiphop,xPyHDowz
1,Ballade,TlwbSlDS
2,rock & metal,TlwbSlDS
3,indie,TlwbSlDS
4,R&B/Soul,TlwbSlDS
5,OST,TlwbSlDS
1,Ballade,UltUxIXq
2,rock & metal,UltUxIXq
3,OST,UltUxIXq
4,R&B/Soul,UltUxIXq
5,dance,UltUxIXq
1,Ballade,uX1AAzjC
2,rock & metal,uX1AAzjC
3,R&B/Soul,uX1AAzjC
4,indie,uX1AAzjC
5,OST,uX1AAzjC
1,rock & metal,zNAUOFCz
2,dance,zNAUOFCz
3,OST,zNAUOFCz
1,rap & hiphop,khKZV9yc
2,Ballade,khKZV9yc
3,dance,khKZV9yc
4,rock & metal,khKZV9yc
5,OST,khKZV9yc
1,rock & metal,AcANhcdK
2,POP,AcANhcdK
3,electronic,AcANhcdK
4,OST,AcANhcdK
5,rap & hiphop,AcANhcdK
1,Ballade,sIrVr35N
2,R&B/Soul,sIrVr35N
3,OST,sIrVr35N
4,dance,sIrVr35N
5,rock & metal,sIrVr35N
1,Ballade,mvGGyyaW
2,rock & metal,mvGGyyaW
3,dance,mvGGyyaW
4,OST,mvGGyyaW
5,R&B/Soul,mvGGyyaW
1,Ballade,7J4wRLAx
2,rock & metal,7J4wRLAx
3,POP,7J4wRLAx
4,R&B/Soul,7J4wRLAx
5,rap & hiphop,7J4wRLAx
1,rap & hiphop,TdWErrj7
2,Ballade,TdWErrj7
3,OST,TdWErrj7
4,R&B/Soul,TdWErrj7
5,dance,TdWErrj7
1,rock & metal,8pGSeVin
2,OST,8pGSeVin
3,rap & hiphop,8pGSeVin
4,POP,8pGSeVin
5,Ballade,8pGSeVin
1,POP,tMZIPSiV
2,rock & metal,tMZIPSiV
3,indie,tMZIPSiV
4,Ballade,tMZIPSiV
5,OST,tMZIPSiV
1,rock & metal,vOMdeFBO
2,indie,vOMdeFBO
3,fork & blues,vOMdeFBO
4,OST,vOMdeFBO
5,Ballade,vOMdeFBO
1,Ballade,H008TSrH
2,R&B/Soul,H008TSrH
3,OST,H008TSrH
4,rock & metal,H008TSrH
5,indie,H008TSrH
1,Ballade,SD4OvvAO
2,fork & blues,SD4OvvAO
3,rock & metal,SD4OvvAO
4,trot,SD4OvvAO
5,OST,SD4OvvAO
1,Ballade,d886M5KW
2,rock & metal,d886M5KW
3,OST,d886M5KW
4,children,d886M5KW
5,dance,d886M5KW
1,trot,bdUq4OFm
2,Ballade,bdUq4OFm
3,OST,bdUq4OFm
4,dance,bdUq4OFm
5,rap & hiphop,bdUq4OFm
1,POP,IB5rq2uW
2,rap & hiphop,IB5rq2uW
3,electronic,IB5rq2uW
4,children,IB5rq2uW
5,OST,IB5rq2uW
1,rap & hiphop,S3RddUPq
2,Ballade,S3RddUPq
3,dance,S3RddUPq
4,rock & metal,S3RddUPq
5,OST,S3RddUPq
1,dance,FFiYDPXZ
2,POP,FFiYDPXZ
3,electronic,FFiYDPXZ
4,Ballade,FFiYDPXZ
5,OST,FFiYDPXZ
1,Ballade,Yb10GsVC
2,dance,Yb10GsVC
3,J-POP,Yb10GsVC
4,R&B/Soul,Yb10GsVC
5,OST,Yb10GsVC
1,Ballade,AHGV78SY
2,rap & hiphop,AHGV78SY
3,R&B/Soul,AHGV78SY
4,dance,AHGV78SY
5,OST,AHGV78SY
1,rap & hiphop,25Gn1xeI
2,J-POP,25Gn1xeI
3,dance,25Gn1xeI
4,Ballade,25Gn1xeI
5,R&B/Soul,25Gn1xeI
1,J-POP,yTRiy1sl
2,Ballade,yTRiy1sl
3,dance,yTRiy1sl
4,OST,yTRiy1sl
5,R&B/Soul,yTRiy1sl
1,Ballade,OHKELHk4
2,OST,OHKELHk4
3,rock & metal,OHKELHk4
4,R&B/Soul,OHKELHk4
5,trot,OHKELHk4
1,R&B/Soul,lzjECwLq
2,rap & hiphop,lzjECwLq
1,rap & hiphop,2qgFaktE
2,indie,2qgFaktE
3,OST,2qgFaktE
4,Ballade,2qgFaktE
5,R&B/Soul,2qgFaktE
1,fork & blues,WpA6h4Et
2,Ballade,WpA6h4Et
3,indie,WpA6h4Et
4,rap & hiphop,WpA6h4Et
5,OST,WpA6h4Et
1,rap & hiphop,w83UW6A7
2,POP,w83UW6A7
3,rock & metal,w83UW6A7
4,R&B/Soul,w83UW6A7
5,electronic,w83UW6A7
1,J-POP,GlLNDZ8t
2,dance,GlLNDZ8t
3,Ballade,GlLNDZ8t
4,rock & metal,GlLNDZ8t
5,OST,GlLNDZ8t
1,OST,9MR5crH4
2,indie,9MR5crH4
3,rock & metal,9MR5crH4
4,trot,9MR5crH4
5,fork & blues,9MR5crH4
1,POP,RsN0p3Ga
2,world music,RsN0p3Ga
3,rap & hiphop,RsN0p3Ga
4,electronic,RsN0p3Ga
5,fork & blues,RsN0p3Ga
1,POP,zO7Rf3fI
2,world music,zO7Rf3fI
3,electronic,zO7Rf3fI
4,fork & blues,zO7Rf3fI
5,rap & hiphop,zO7Rf3fI
1,POP,uvXhzg3g
2,world music,uvXhzg3g
3,R&B/Soul,uvXhzg3g
4,electronic,uvXhzg3g
5,fork & blues,uvXhzg3g
1,POP,C2LnfVsP
2,world music,C2LnfVsP
3,rap & hiphop,C2LnfVsP
4,electronic,C2LnfVsP
5,fork & blues,C2LnfVsP
1,dance,qStJ2h29
2,J-POP,qStJ2h29
3,Ballade,qStJ2h29
4,OST,qStJ2h29
5,POP,qStJ2h29
1,indie,2LjUEso0
2,Ballade,2LjUEso0
3,fork & blues,2LjUEso0
4,rock & metal,2LjUEso0
5,electronic,2LjUEso0
1,POP,Hdyy845y
2,world music,Hdyy845y
3,rap & hiphop,Hdyy845y
4,electronic,Hdyy845y
5,fork & blues,Hdyy845y
1,POP,3rhy5RGB
2,world music,3rhy5RGB
3,rap & hiphop,3rhy5RGB
4,electronic,3rhy5RGB
5,fork & blues,3rhy5RGB
1,Ballade,xSmKXeBN
2,dance,xSmKXeBN
3,rock & metal,xSmKXeBN
4,OST,xSmKXeBN
5,fork & blues,xSmKXeBN
1,dance,OBJFFKqj
2,Ballade,OBJFFKqj
3,rap & hiphop,OBJFFKqj
4,children,OBJFFKqj
5,OST,OBJFFKqj
1,trot,z0sLqPBa
2,Ballade,z0sLqPBa
3,OST,z0sLqPBa
4,dance,z0sLqPBa
5,rock & metal,z0sLqPBa
1,rap & hiphop,dT26Go6l
2,indie,dT26Go6l
3,electronic,dT26Go6l
4,OST,dT26Go6l
5,R&B/Soul,dT26Go6l
1,R&B/Soul,50Sisgzg
2,POP,50Sisgzg
3,world music,50Sisgzg
4,electronic,50Sisgzg
5,fork & blues,50Sisgzg
1,Ballade,dyTaa2lS
2,indie,dyTaa2lS
3,rock & metal,dyTaa2lS
4,fork & blues,dyTaa2lS
5,OST,dyTaa2lS
1,jazz,muLRZocE
2,R&B/Soul,muLRZocE
3,POP,muLRZocE
4,electronic,muLRZocE
5,Ballade,muLRZocE
1,R&B/Soul,KPOMFJS8
2,jazz,KPOMFJS8
3,POP,KPOMFJS8
4,electronic,KPOMFJS8
5,rap & hiphop,KPOMFJS8
1,POP,cqRPA4iZ
2,world music,cqRPA4iZ
3,electronic,cqRPA4iZ
4,fork & blues,cqRPA4iZ
5,rap & hiphop,cqRPA4iZ
1,POP,avfpnK6e
2,world music,avfpnK6e
3,electronic,avfpnK6e
4,fork & blues,avfpnK6e
5,rap & hiphop,avfpnK6e
1,POP,HDEL6Q0Y
2,world music,HDEL6Q0Y
3,R&B/Soul,HDEL6Q0Y
4,electronic,HDEL6Q0Y
5,fork & blues,HDEL6Q0Y
1,POP,1GLLDmBe
2,world music,1GLLDmBe
3,rap & hiphop,1GLLDmBe
4,electronic,1GLLDmBe
5,fork & blues,1GLLDmBe
1,POP,RcZDPLAi
2,world music,RcZDPLAi
3,electronic,RcZDPLAi
4,fork & blues,RcZDPLAi
5,rap & hiphop,RcZDPLAi
1,dance,VY4G0oHE
2,Ballade,VY4G0oHE
3,rock & metal,VY4G0oHE
4,electronic,VY4G0oHE
5,rap & hiphop,VY4G0oHE
1,rap & hiphop,RjJM1zCH
2,R&B/Soul,RjJM1zCH
3,Ballade,RjJM1zCH
4,OST,RjJM1zCH
5,indie,RjJM1zCH
1,dance,CyZoYOFG
2,indie,CyZoYOFG
3,rock & metal,CyZoYOFG
4,R&B/Soul,CyZoYOFG
5,rap & hiphop,CyZoYOFG
1,POP,9kCM9MkL
2,world music,9kCM9MkL
3,rap & hiphop,9kCM9MkL
4,electronic,9kCM9MkL
5,fork & blues,9kCM9MkL
1,POP,GdKSzzyU
2,world music,GdKSzzyU
3,electronic,GdKSzzyU
4,fork & blues,GdKSzzyU
5,rap & hiphop,GdKSzzyU
1,POP,Hk58Ugtj
2,world music,Hk58Ugtj
3,rap & hiphop,Hk58Ugtj
4,electronic,Hk58Ugtj
5,fork & blues,Hk58Ugtj
1,POP,m49MCg3j
2,world music,m49MCg3j
3,rap & hiphop,m49MCg3j
4,electronic,m49MCg3j
5,fork & blues,m49MCg3j
1,POP,1eEave61
2,world music,1eEave61
3,rap & hiphop,1eEave61
4,electronic,1eEave61
5,fork & blues,1eEave61
1,POP,oT4TVQvF
2,world music,oT4TVQvF
3,rap & hiphop,oT4TVQvF
4,electronic,oT4TVQvF
5,fork & blues,oT4TVQvF
1,R&B/Soul,hYPOXpVT
2,jazz,hYPOXpVT
3,POP,hYPOXpVT
4,electronic,hYPOXpVT
5,J-POP,hYPOXpVT
1,POP,1dxTUk8r
2,world music,1dxTUk8r
3,rap & hiphop,1dxTUk8r
4,electronic,1dxTUk8r
5,fork & blues,1dxTUk8r
1,POP,uR910SQG
2,world music,uR910SQG
3,electronic,uR910SQG
4,fork & blues,uR910SQG
1,Ballade,98cNfuts
2,dance,98cNfuts
3,rock & metal,98cNfuts
4,indie,98cNfuts
1,CCM,SPTLqbOC
2,indie,SPTLqbOC
3,R&B/Soul,SPTLqbOC
4,fork & blues,SPTLqbOC
5,Ballade,SPTLqbOC
1,POP,M87I3aAR
2,world music,M87I3aAR
3,rap & hiphop,M87I3aAR
4,electronic,M87I3aAR
5,fork & blues,M87I3aAR
1,J-POP,NJVb9RIH
2,Ballade,NJVb9RIH
3,CCM,NJVb9RIH
4,dance,NJVb9RIH
5,rap & hiphop,NJVb9RIH
1,dance,TDFm4azM
2,rap & hiphop,TDFm4azM
3,Ballade,TDFm4azM
4,rock & metal,TDFm4azM
5,J-POP,TDFm4azM
1,POP,pitjO9Ya
2,world music,pitjO9Ya
3,electronic,pitjO9Ya
4,fork & blues,pitjO9Ya
5,rap & hiphop,pitjO9Ya
1,POP,VyDAVFCD
2,world music,VyDAVFCD
3,electronic,VyDAVFCD
4,fork & blues,VyDAVFCD
1,POP,ycOKnuX6
2,world music,ycOKnuX6
3,rap & hiphop,ycOKnuX6
4,electronic,ycOKnuX6
5,fork & blues,ycOKnuX6
1,POP,1Nl9kjRx
2,world music,1Nl9kjRx
3,rap & hiphop,1Nl9kjRx
4,electronic,1Nl9kjRx
5,fork & blues,1Nl9kjRx
1,POP,VU6W8OUq
2,world music,VU6W8OUq
3,rap & hiphop,VU6W8OUq
4,electronic,VU6W8OUq
5,fork & blues,VU6W8OUq
1,POP,0qW12jgQ
2,world music,0qW12jgQ
3,rap & hiphop,0qW12jgQ
4,electronic,0qW12jgQ
5,fork & blues,0qW12jgQ
1,dance,HuPRmVry
2,indie,HuPRmVry
3,rock & metal,HuPRmVry
4,Ballade,HuPRmVry
5,fork & blues,HuPRmVry
1,POP,RFyCcTWy
2,world music,RFyCcTWy
3,rap & hiphop,RFyCcTWy
4,electronic,RFyCcTWy
5,fork & blues,RFyCcTWy
1,POP,rUgn9aSv
2,world music,rUgn9aSv
3,R&B/Soul,rUgn9aSv
4,electronic,rUgn9aSv
5,fork & blues,rUgn9aSv
1,POP,hbib0HQZ
2,world music,hbib0HQZ
3,electronic,hbib0HQZ
4,fork & blues,hbib0HQZ
5,rap & hiphop,hbib0HQZ
1,POP,A8LtPJy7
2,world music,A8LtPJy7
3,rap & hiphop,A8LtPJy7
4,electronic,A8LtPJy7
5,fork & blues,A8LtPJy7
1,POP,VSRLTSJ7
2,world music,VSRLTSJ7
3,rap & hiphop,VSRLTSJ7
4,electronic,VSRLTSJ7
5,fork & blues,VSRLTSJ7
1,POP,7TyDIs2I
2,world music,7TyDIs2I
3,electronic,7TyDIs2I
4,fork & blues,7TyDIs2I
5,rap & hiphop,7TyDIs2I
1,POP,NIV4mfaB
2,world music,NIV4mfaB
3,electronic,NIV4mfaB
4,fork & blues,NIV4mfaB
5,rap & hiphop,NIV4mfaB
1,POP,Ol4QTcGQ
2,world music,Ol4QTcGQ
3,electronic,Ol4QTcGQ
4,fork & blues,Ol4QTcGQ
5,rap & hiphop,Ol4QTcGQ
1,POP,NcFoDOdl
2,world music,NcFoDOdl
3,rap & hiphop,NcFoDOdl
4,electronic,NcFoDOdl
5,fork & blues,NcFoDOdl
1,POP,V72cT14R
2,world music,V72cT14R
3,rap & hiphop,V72cT14R
4,electronic,V72cT14R
5,fork & blues,V72cT14R
1,rap & hiphop,v5I2QyqS
2,electronic,v5I2QyqS
1,POP,jG5JYNKD
2,world music,jG5JYNKD
3,rap & hiphop,jG5JYNKD
4,electronic,jG5JYNKD
5,fork & blues,jG5JYNKD
1,POP,Ou23fvU6
2,world music,Ou23fvU6
3,rap & hiphop,Ou23fvU6
4,electronic,Ou23fvU6
5,fork & blues,Ou23fvU6
1,POP,5vIvEjys
2,world music,5vIvEjys
3,rap & hiphop,5vIvEjys
4,electronic,5vIvEjys
5,fork & blues,5vIvEjys
1,POP,kJHb9lJf
2,world music,kJHb9lJf
3,rap & hiphop,kJHb9lJf
4,electronic,kJHb9lJf
5,fork & blues,kJHb9lJf
1,POP,WbS2e7G4
2,world music,WbS2e7G4
3,rap & hiphop,WbS2e7G4
4,electronic,WbS2e7G4
5,fork & blues,WbS2e7G4
1,POP,nfLldypE
2,world music,nfLldypE
3,rap & hiphop,nfLldypE
4,electronic,nfLldypE
5,fork & blues,nfLldypE
1,POP,shshyogy
2,world music,shshyogy
3,electronic,shshyogy
4,fork & blues,shshyogy
1,POP,ylNrgpk3
2,world music,ylNrgpk3
3,rap & hiphop,ylNrgpk3
4,electronic,ylNrgpk3
5,fork & blues,ylNrgpk3
1,POP,Zw5dhGEy
2,world music,Zw5dhGEy
3,rap & hiphop,Zw5dhGEy
4,electronic,Zw5dhGEy
5,fork & blues,Zw5dhGEy
1,POP,zgevwzoa
2,world music,zgevwzoa
3,rap & hiphop,zgevwzoa
4,electronic,zgevwzoa
5,fork & blues,zgevwzoa
1,Ballade,Mm6ooBr2
2,R&B/Soul,Mm6ooBr2
3,dance,Mm6ooBr2
4,rock & metal,Mm6ooBr2
5,OST,Mm6ooBr2
1,POP,MYvFBIe2
2,world music,MYvFBIe2
3,rap & hiphop,MYvFBIe2
4,electronic,MYvFBIe2
5,fork & blues,MYvFBIe2
1,POP,gc359B9F
2,world music,gc359B9F
3,electronic,gc359B9F
4,fork & blues,gc359B9F
5,rap & hiphop,gc359B9F
1,Ballade,mk40ruaV
2,dance,mk40ruaV
3,OST,mk40ruaV
4,rock & metal,mk40ruaV
5,R&B/Soul,mk40ruaV
1,R&B/Soul,IiBQyv5b
2,trot,IiBQyv5b
3,Ballade,IiBQyv5b
4,dance,IiBQyv5b
5,OST,IiBQyv5b
1,POP,fVPMhLbz
2,world music,fVPMhLbz
3,R&B/Soul,fVPMhLbz
4,rap & hiphop,fVPMhLbz
5,electronic,fVPMhLbz
1,R&B/Soul,OmiX2e5J
2,indie,OmiX2e5J
3,Ballade,OmiX2e5J
4,rock & metal,OmiX2e5J
5,fork & blues,OmiX2e5J
1,POP,TpuGTLdY
2,world music,TpuGTLdY
3,rap & hiphop,TpuGTLdY
4,electronic,TpuGTLdY
5,fork & blues,TpuGTLdY
1,Ballade,dzdDKkqq
2,OST,dzdDKkqq
3,R&B/Soul,dzdDKkqq
4,dance,dzdDKkqq
5,rap & hiphop,dzdDKkqq
1,POP,7CL4mseq
2,world music,7CL4mseq
3,rap & hiphop,7CL4mseq
4,electronic,7CL4mseq
5,fork & blues,7CL4mseq
1,Ballade,uF65NyrK
2,indie,uF65NyrK
3,rock & metal,uF65NyrK
4,fork & blues,uF65NyrK
5,OST,uF65NyrK
1,POP,svdpQLFN
2,rap & hiphop,svdpQLFN
3,electronic,svdpQLFN
4,rock & metal,svdpQLFN
5,dance,svdpQLFN
1,Ballade,Z0jEUQ5Z
2,R&B/Soul,Z0jEUQ5Z
3,OST,Z0jEUQ5Z
4,rock & metal,Z0jEUQ5Z
5,CCM,Z0jEUQ5Z
1,indie,3zg5k2bY
2,fork & blues,3zg5k2bY
3,Ballade,3zg5k2bY
4,dance,3zg5k2bY
5,OST,3zg5k2bY
1,dance,LMBjTKF2
2,indie,LMBjTKF2
3,Ballade,LMBjTKF2
4,R&B/Soul,LMBjTKF2
5,fork & blues,LMBjTKF2
1,Ballade,wwEm3gP5
2,rock & metal,wwEm3gP5
3,POP,wwEm3gP5
4,dance,wwEm3gP5
5,rap & hiphop,wwEm3gP5
1,Ballade,zzN5QFnv
2,New Age,zzN5QFnv
3,dance,zzN5QFnv
4,OST,zzN5QFnv
5,children,zzN5QFnv
1,POP,tUCYajug
2,world music,tUCYajug
3,electronic,tUCYajug
4,fork & blues,tUCYajug
5,rap & hiphop,tUCYajug
1,POP,cTlj2voG
2,world music,cTlj2voG
3,rap & hiphop,cTlj2voG
4,electronic,cTlj2voG
5,fork & blues,cTlj2voG
1,rap & hiphop,nBpSgH7X
2,electronic,nBpSgH7X
1,POP,ducfz8Vc
2,world music,ducfz8Vc
3,rap & hiphop,ducfz8Vc
4,indie,ducfz8Vc
5,dance,ducfz8Vc
1,POP,VlFaLTUI
2,world music,VlFaLTUI
3,R&B/Soul,VlFaLTUI
4,electronic,VlFaLTUI
5,fork & blues,VlFaLTUI
1,Ballade,iSMEESKH
2,R&B/Soul,iSMEESKH
3,OST,iSMEESKH
4,dance,iSMEESKH
5,rock & metal,iSMEESKH
1,indie,WM1myAFa
2,Ballade,WM1myAFa
3,R&B/Soul,WM1myAFa
4,fork & blues,WM1myAFa
5,electronic,WM1myAFa
1,POP,O9x1JpyK
2,world music,O9x1JpyK
3,R&B/Soul,O9x1JpyK
4,electronic,O9x1JpyK
