SONG_TITLE,ARTIST_NAME,USER_ID_NEW
태양을 피하는 방법,비,aW1PyVLh
You,멜로망스,GhoDHpZZ
love (Feat. Syd),DEAN,GhoDHpZZ
내 눈물이 하는 말,견우 (Kyunwoo),GhoDHpZZ
신용재,하은,GhoDHpZZ
동경,박효신,GhoDHpZZ
나와 같다면 (김장훈),김연우,GhoDHpZZ
Marry Me,마크툽 (MAKTUB),GhoDHpZZ
Marry Me,구윤회,GhoDHpZZ
봄인가 봐 (Spring Love),에릭남 (Eric Nam),GhoDHpZZ
봄인가 봐 (Spring Love),웬디 (WENDY),GhoDHpZZ
SOS (Feat. CHANGMO),Skinny Brown,RO29WPtU
SOS (Feat. CHANGMO),TOIL,RO29WPtU
어른,Sondia,SZseHvGb
My Sweetie,보아 (BoA),aW1PyVLh
숨가빠,ASTRO (아스트로),s9RPb5Uz
문득병,에일리(AILEE),s9RPb5Uz
What I've Done,LINKIN PARK,QqfhIbWS
프리지아,래원 (Layone),6f6BNsVU
프리지아,이영지,6f6BNsVU
"시발점 Remix (Feat. 버벌진트, Beenzino)",BIG Naughty (서동현),6f6BNsVU
낮 밤 (feat. 박재범),이영지,6f6BNsVU
다시 너를,매드클라운,6f6BNsVU
다시 너를,김나영,6f6BNsVU
내 기쁨은 너가 벤틀리를 끄는 거야,김승민,6f6BNsVU
어떻게 지내 (Prod. By VAN.C),오반 (OVAN),6f6BNsVU
CHOCOLADY,AKMU (악동뮤지션),6f6BNsVU
핑,크르르,6f6BNsVU
사랑한다고 말해줘,탑현,6f6BNsVU
"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코),6f6BNsVU
"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),6f6BNsVU
All I Wanna Do,박재범,6f6BNsVU
긴 밤 (feat. 기리보이),Seori,6f6BNsVU
잊어버리지마 (Feat. 태연),Crush,6f6BNsVU
Gee,GIRLS' GENERATION (소녀시대),6f6BNsVU
Hands Up,2PM,6f6BNsVU
미치게 해 (Inst.),Takey,6f6BNsVU
I Need You,허각,6f6BNsVU
I Need You,지아,6f6BNsVU
워커홀릭,볼빨간사춘기,6f6BNsVU
별 보러 갈래?,볼빨간사춘기,6f6BNsVU
Lotto,EXO,aW1PyVLh
미래,Red Velvet (레드벨벳),wNPb7xKa
선 (Line),김아름,aW1PyVLh
나였으면,나윤권,SZseHvGb
To Die For,Sam Smith,9PSfmUc7
빛이 나는 너에게,던 (DAWN),eDc0SXtg
Coffee And TV,Blur,Yjysn6m9
Girls and Boys,Blur,Yjysn6m9
아름다운 구속,NewJeans,eDc0SXtg
7월이 지나도 (Feat. KURO),뎁트,Y5HbeGz2
The One,먼데이 키즈 (Monday Kiz),Y5HbeGz2
ALIVE,이석훈,Y5HbeGz2
상상더하기,MSG워너비,aW1PyVLh
염라(Karma),달의하루,ojSXg1sz
Mystical Beginning (feat. KARRA),KSHMR,6UwTJp5d
fukumean,Gunna,Oa1az6L5
"일곱 번째 감각 (The 7th Sense) (Sung by 태용, 마크, 재현, 도영, 텐)",NCT U,GQ5mNcyD
사랑인가 봐,멜로망스,37IjKNvr
Attention,NewJeans,9PSfmUc7
꽃,지수 (JISOO),9PSfmUc7
뜨겁게 단단하게,단단,IrkXIAj7
I Feel Good,Pink Sweat$,IrkXIAj7
비밀의 화원,IU (아이유),IrkXIAj7
"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,IrkXIAj7
NIGHT DANCER,imase,7J4wRLAx
Here I Am,포맨,iSzZ3iu4
Here I Am,미(MIIII),iSzZ3iu4
Whale Cry (new ver.),레이브릭스 (LAYBRICKS),iSzZ3iu4
자격지심 (Feat. ZICO),BE'O (비오),QqfhIbWS
좋은 사람 Ver.2,블랙펄,iSzZ3iu4
통증,거미,iSzZ3iu4
Girls Just Want To Have Fun,Cyndi Lauper,lhHSISIf
반딧불이의 숲,가인,UGHUjwj5
Sunset,엔플라잉 (N.Flying),UGHUjwj5
Colors (Audien Remix),Halsey,NpIwcgjW
Even The Nights Are Better,Air Supply,dFDkaTnc
Suddenly,Billy Ocean,dFDkaTnc
Voulez-Vous,ABBA,dFDkaTnc
How Am I Supposed To Live Without You,Michael Bolton,dFDkaTnc
첫사랑,이소라,s9RPb5Uz
작은별,AKMU (악동뮤지션),s9RPb5Uz
요즘 너 말야,제이레빗(J Rabbit),s9RPb5Uz
공상 (Re-Recording 2019),톰톰,s9RPb5Uz
Power Up,Red Velvet (레드벨벳),ntB6LnoV
Don't Know What To Do,BLACKPINK,ntB6LnoV
Crush,Lucian,s9RPb5Uz
Crush,Tiffany Day,s9RPb5Uz
Islands (The Blue Nile Remix),The XX,e5eDeXho
단 한사람,고유진 (플라워),SZseHvGb
야! (Feat. 휘인),산들,SZseHvGb
뭘해도 예쁜걸,길구봉구,SZseHvGb
가을 안부,먼데이 키즈 (Monday Kiz),SZseHvGb
휘파람,SINCE,LT5IHXkW
어느날 머리에서 뿔이 자랐다 (CROWN),투모로우바이투게더,oz09UdKf
하굣길,투모로우바이투게더,oz09UdKf
별의 낮잠,투모로우바이투게더,oz09UdKf
희재,벤,SZseHvGb
낯선 하루,마은진 (플레이백),SZseHvGb
그대의 편이 돼 줄게 (Feat. 굿나잇스탠드),공기남,SZseHvGb
그대의 편이 돼 줄게 (Feat. 굿나잇스탠드),고닥,SZseHvGb
This Christmas,태연 (TAEYEON),JJynjMbM
하늘엔 별이 떠있고 너만큼은 빛나질 않아,이민혁,SZseHvGb
Suitcase,Matthew Koma,aW1PyVLh
도망가자 (Run With Me),선우정아,SZseHvGb
Boat,죠지,7J4wRLAx
祝福,YOASOBI,ELHH7YIM
insomnia (불면증),휘성 (Realslow),aW1PyVLh
Boat,죠지,aW1PyVLh
Dance The Night Away,TWICE (트와이스),aW1PyVLh
FIESTA,IZ*ONE (아이즈원),aW1PyVLh
선물,멜로망스,aW1PyVLh
사랑이 좋아 (부탁해요 엄마 OST Part.3),홍진영,aW1PyVLh
백만송이 장미,심수봉,aW1PyVLh
취중고백,김민석 (멜로망스),HsKBgc1Z
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),SvoJmgKe
우린 그렇게 사랑해서,강민경 (다비치),9PSfmUc7
우린 그렇게 사랑해서,잔나비 최정훈,9PSfmUc7
소우주 (Mikrokosmos),BTS,f1r4qiBL
어른,Sondia,wNPb7xKa
여자라서 (Piano Ver.),IU (아이유),zxIUUnjN
Swimming,도손 (Doson),cOnrF7n9
MOVIE,JUNNY (주니),cOnrF7n9
너의 인스타그램 (Feat. Blueday),IOHBOY (아이오보이),frMWW0Kw
새들처럼,FTISLAND (FT아일랜드),SZseHvGb
헤어지는 기회,소찬휘,eidJ5oIJ
가슴은 눈물은,더 넛츠 (The NuTs),SZseHvGb
이별행동,이우,SZseHvGb
Hype boy,NewJeans,4i4Sv0IB
Piano Nocturn (벌써일년),브라운 아이즈,d3sKOGzM
Crazy,New Hope Club,B10tGU5S
Ridin' Roads,Dustin Lynch,B10tGU5S
검은 구름 (feat. THAMA),jeebanoff (지바노프),s9RPb5Uz
Fire,2NE1,d3sKOGzM
환상동화 (Secret Story of the Swan),IZ*ONE (아이즈원),d3sKOGzM
ELEVEN,IVE (아이브),d3sKOGzM
After School,Weeekly (위클리),d3sKOGzM
After LIKE,IVE (아이브),d3sKOGzM
슈퍼 그럼요,우주소녀 쪼꼬미,d3sKOGzM
Love on the Moon,Jxxn (진),cOnrF7n9
기대해,걸스데이,d3sKOGzM
I Don't Want U Back,BØRNS,B10tGU5S
Super Far,LANY,B10tGU5S
I Can't Stand It,Blossoms,B10tGU5S
Your Light,The Big Moon,B10tGU5S
춤,offonoff (오프온오프),SZseHvGb
너였었니,백아연,SZseHvGb
Say,윤미래,SZseHvGb
"다시 난, 여기",백예린 (Yerin Baek),SZseHvGb
그대로 그렇게,박진영,SZseHvGb
좋아하나봐,참솜 (Chamsom),SZseHvGb
좋아하나봐,참솜 (Chamsom),SZseHvGb
비밀의 화원,IU (아이유),NpIwcgjW
그대라는 이유,먼데이 키즈 (Monday Kiz),NpIwcgjW
Incredible (Acoustic Ver.),XIA (준수),SZseHvGb
홍연,안예은,hda1lk8o
삐삐,IU (아이유),hda1lk8o
니가 내리는 날,백지영,SZseHvGb
니가 내리는 날,나원주,SZseHvGb
금방,도후,SZseHvGb
5시 53분의 하늘에서 발견한 너와 나,투모로우바이투게더,mVAY76vq
니 곁이라면,성시경,37IjKNvr
그대에게 가는 길 (Duet),김정민,SZseHvGb
웃어본다,BIGBANG,SZseHvGb
Remember,가비엔제이,SZseHvGb
아파도 숨은,V.One,SZseHvGb
서로가 서로가 아니면 안될 때 (Feat. 리쌍),이수영,SZseHvGb
High Heel (With 주영),린,SZseHvGb
원더 우먼,조원선,SZseHvGb
가질 수 없는 너,휘,SZseHvGb
Goodbye My Princess,먼데이 키즈 (Monday Kiz),SZseHvGb
안되겠더라,포맨,SZseHvGb
Tomorrow,환희,SZseHvGb
오직 너만,김범수,SZseHvGb
기억으로 아름다워서,박선주 (Pak Sun Zoo),SZseHvGb
내사람,환희,SZseHvGb
I Wish,하동균,SZseHvGb
Happy,2NE1,B10tGU5S
Intoxicated,Hana Piranha,B10tGU5S
별후광음(別後光陰),두번째달,wNPb7xKa
Bye Bye,Jeremy Passion,lc1JFMeK
낙서 (Feat. 백예린) (Prod. by WOOGIE),펀치넬로 (punchnello),7dVmnfZu
끝이 아닌 것 같아서,바닐라 어쿠스틱,SZseHvGb
비밀,이준호,SZseHvGb
해줄 수 없는 일,거미,SZseHvGb
Broke,Samm Henshaw,GhoDHpZZ
SEXY LOVE,티아라,YYwciPyH
RUN,BTS,YYwciPyH
After (Full Ver.),얀,MgPXVSYW
파도,새소년,QtGMMQnY
집에,새소년,QtGMMQnY
One Call Away,Charlie Puth,oCnoZXYp
헤어지던 밤,어쿠루브,SZseHvGb
술래,로시 (Rothy),SZseHvGb
우리 오늘 만날까,이민혁,SZseHvGb
너라서 좋다,피아노맨,SZseHvGb
넌 별로 날 안 좋아해,신승은,SZseHvGb
OCEAN,더 베인,SZseHvGb
별과 해,Kei (러블리즈),SZseHvGb
Ditto,NewJeans,oCnoZXYp
Gurenge,LiSA,5xSw0HC2
Marry Me,마크툽 (MAKTUB),SZseHvGb
Marry Me,구윤회,SZseHvGb
전활 받지 않는 너에게,2AM,SZseHvGb
Someday,92914,lAdIb7ak
Someday,한민지,lAdIb7ak
"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),xIhYboRe
After the Disco,Broken Bells,B10tGU5S
Beige coat,그리즐리 (Grizzly),7dVmnfZu
연애하고 싶은 여자,이수영,WOHZskBj
Language,Betty Who,B10tGU5S
오늘 밤,이민혁,0SERIP2a
이별 참 아프다,투앤비 (2NB),0SERIP2a
왜 또 눈물이 나는지,투앤비 (2NB),0SERIP2a
이런게 바로 사랑인가요? (Inst.),ROO (루),0SERIP2a
"EVERYTHING (Feat. 창모, Coogie, ASH ISLAND & BIBI))",Way Ched (웨이체드),xKISNauP
Like It's Christmas,Jonas Brothers,UegFjzyG
Count on Christmas,Bebe Rexha,UegFjzyG
Make It To Christmas,Alessia Cara,UegFjzyG
Think of Christmas,Anne-Marie,UegFjzyG
Mistletoe,Justin Bieber,UegFjzyG
Santa Tell Me,Ariana Grande,UegFjzyG
You Make It Feel Like Christmas (Feat. Blake Shelton),Gwen Stefani,UegFjzyG
Christmas Without You,Ava Max,UegFjzyG
My Only Wish (This Year),Britney Spears,UegFjzyG
Underneath The Tree,Kelly Clarkson,UegFjzyG
Last Christmas,Ariana Grande,UegFjzyG
Snow In California,Ariana Grande,UegFjzyG
Enchanted,Taylor Swift,UegFjzyG
Snowman,Sia,UegFjzyG
HERE (For Christmas),Lukas Graham,UegFjzyG
Follow,Kito,bH6EgYJb
Follow,ZHU,bH6EgYJb
Follow,Jeremih,bH6EgYJb
Part of the plan (Feat. Nicholas Roberts),entoy,6UZFrJw1
All Beginning (Feat. J.O.Y),서액터,EA7baP2u
BEST FRIEND,덩크 (DUNK),0FqXl1ua
Up All Night,Breathe Carolina,0SERIP2a
Up All Night,Streex,0SERIP2a
서울의 잠 못 이루는 밤 (Feat. 이수현),10CM,0SERIP2a
달빛바다,IU (아이유),0SERIP2a
달빛바다,피에스타,0SERIP2a
비밀의 화원,IU (아이유),0SERIP2a
Snowman,Sia,SZseHvGb
How You Like That,BLACKPINK,ik7laHFZ
"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",염따,SZseHvGb
"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",딥플로우,SZseHvGb
"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",팔로알토 (Paloalto),SZseHvGb
"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",The Quiett,SZseHvGb
"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",사이먼 도미닉,SZseHvGb
사건의 지평선,윤하 (YOUNHA),RQQiSAUH
내 목소리 들리니 (Inst.),벤,d3sKOGzM
아이보리,가을방학,CG5GPYJ5
아이보리,에피톤 프로젝트,CG5GPYJ5
IAN,정준일,CG5GPYJ5
나의 사춘기에게,볼빨간사춘기,CG5GPYJ5
"Gloomy Star (Feat. 1ho, Chan)",공기남,NPGeQ8Px
그XX,G-DRAGON,NPGeQ8Px
